layer,mode,auroc_mean,auroc_std,acc_mean,acc_std
0,last,0.5,0.0,0.6666666666666666,0.007022084070579068
1,last,0.9099181633437687,0.03997800806227861,0.8369532428355957,0.044537265239496894
2,last,0.9311006755643433,0.030493964183889184,0.8641779788838614,0.03938673683030409
3,last,0.9265200197726149,0.02904974154366839,0.8720211161387633,0.036242746431160204
4,last,0.9433283901796011,0.018906259093321134,0.8914781297134237,0.009384217333515726
5,last,0.9580957873345415,0.019082269268871823,0.8992458521870287,0.031068144089307685
6,last,0.9628697753611248,0.015495202231411015,0.9070135746606336,0.030867224842882027
7,last,0.970144999176141,0.015421747456494944,0.8953996983408749,0.0285946358816458
8,last,0.9713945185917504,0.008569512741834531,0.9030165912518854,0.0214996947172954
9,last,0.9696182786840227,0.01477415160910746,0.9148567119155355,0.025996121611258714
10,last,0.9730867248860328,0.01352360569066954,0.9187028657616894,0.028252474759029936
11,last,0.9774498819135499,0.011809339040355568,0.930316742081448,0.022856278154501454
12,last,0.9851172625913109,0.010801388739153355,0.934238310708899,0.02858369444959341
13,last,0.9868462679189323,0.007455128047147601,0.934238310708899,0.025866940180564
14,last,0.9901900367990333,0.004774723490582111,0.9458521870286576,0.022221909413612528
15,last,0.9929279947273028,0.004076993546467118,0.9381598793363499,0.022117240975504056
16,last,0.9878464326907233,0.004965103133004706,0.9226998491704375,0.0268247737437565
17,last,0.9905464931070467,0.005458930745586286,0.9265460030165913,0.02204047786193873
18,last,0.9877986488713132,0.005302672662742126,0.930316742081448,0.015051626586859618
19,last,0.9833580491019938,0.004905785044321332,0.922473604826546,0.012185031122229321
20,last,0.9837145054100072,0.0049344425662624135,0.9186274509803921,0.007421366274595804
21,last,0.9837831603229527,0.0064865562633969415,0.9226244343891403,0.016696158124429938
22,last,0.9824386225078265,0.008040737798478194,0.9147812971342383,0.00894547743722998
23,last,0.9790772779700114,0.011954928249450703,0.9148567119155354,0.014842349367548097
24,last,0.9773598066677651,0.018807368697825923,0.8953996983408749,0.031073818485772665
25,last,0.9739682539682539,0.019387410083051792,0.8877828054298643,0.03686124541189875
26,last,0.973671664744329,0.02305464347910241,0.88763197586727,0.025373459790740176
27,last,0.9777250508046353,0.01908233727731411,0.8953996983408749,0.031073818485772665
28,last,0.9715263360246059,0.018789689751152458,0.8916289592760182,0.04110250872658559
29,last,0.97050694787719,0.017058747621785754,0.8720965309200605,0.04316295682966582
30,last,0.9715543472290877,0.017342866767896616,0.8722473604826547,0.035207800754941614
31,last,0.9739671554896467,0.017838853047638863,0.8722473604826547,0.04102896801344374
32,last,0.9692299664964026,0.018407296974804012,0.8685520361990949,0.05451221196626578
0,mean,0.8106563409677596,0.038726775101251616,0.7052790346907993,0.04729270495770066
1,mean,0.8747547646509585,0.03277913625719937,0.7865761689291102,0.029244020238884443
2,mean,0.913355302905476,0.031065985997445974,0.8333333333333334,0.036143276471536805
3,mean,0.9336326687537762,0.02695066087821859,0.8566365007541478,0.035791763040473115
4,mean,0.9347168671390124,0.027031137184940823,0.8450226244343891,0.036396520456452856
5,mean,0.937465809853353,0.02427987435255208,0.8604826546003016,0.014370424601772016
6,mean,0.9466831438457737,0.013242397937016544,0.8723227752639516,0.035023325960212404
7,mean,0.948650519031142,0.015162721001353997,0.8759426847662141,0.020075069150849327
8,mean,0.9598462129950018,0.014864588158741079,0.8836349924585217,0.021846348786558032
9,mean,0.9703295435821385,0.012839190512586765,0.8914781297134237,0.023314513484987216
10,mean,0.9832229362333169,0.009210335751097875,0.9186274509803921,0.007421366274595804
11,mean,0.9865864777283463,0.007618683984810334,0.9420060331825038,0.0242096718388044
12,mean,0.9891997583347065,0.006664129945540836,0.9458521870286576,0.014069657771997162
13,mean,0.9925336409073434,0.006273545484066999,0.9419306184012066,0.011931276236409388
14,mean,0.9915246883066953,0.006095199448021861,0.9458521870286576,0.014069657771997162
15,mean,0.989535892788488,0.0056721880633755235,0.9380844645550528,0.01409348721045345
16,mean,0.989872576481573,0.004973868921046961,0.9341628959276018,0.009061078911538786
17,mean,0.9899011369253584,0.004053976784414911,0.9341628959276018,0.009061078911538786
18,mean,0.9864612511671336,0.005678401324233778,0.9264705882352942,0.013909887917592201
19,mean,0.9835107376283847,0.007808236292148951,0.9264705882352942,0.013909887917592201
20,mean,0.983482726423903,0.006682721160082905,0.9226244343891403,0.016696158124429938
21,mean,0.9861926731476904,0.00483709862822651,0.9264705882352942,0.013909887917592201
22,mean,0.9821661998132585,0.006849200422639785,0.9264705882352942,0.013909887917592201
23,mean,0.9848860328445104,0.005757828789137212,0.9264705882352942,0.022121097849014153
24,mean,0.9872027242269457,0.006082754245000393,0.930316742081448,0.015051626586859618
25,mean,0.9865205690119186,0.006676285487966667,0.9302413273001509,0.009413263213653033
26,mean,0.9909501839951667,0.006026977738095268,0.9225490196078432,0.020869056478344476
27,mean,0.9926704014939307,0.0070595892262769145,0.934238310708899,0.025866940180564006
28,mean,0.9913253144395014,0.007415986500335926,0.930316742081448,0.022856278154501464
29,mean,0.9902872521557642,0.0063324653582502765,0.930316742081448,0.022856278154501464
30,mean,0.9919596858351184,0.006736000424530027,0.9227752639517346,0.038237153411229845
31,mean,0.9969649036085022,0.0032549231640104136,0.9574660633484162,0.014232030084478481
32,mean,0.9912291975613776,0.004901709050861644,0.9418552036199095,0.0005541831997246989
