base_id,condition,hop_depth,error_type,final_correct,final_absurd,max_probe_score,mean_probe_score,fired_at_least_once,n_interventions
planning_budget_0002,baseline,4,constraint_violation,False,True,0.9998229177622034,0.3927658394053157,True,0
planning_budget_0002,reprompt,4,constraint_violation,False,True,0.9998229177622034,0.3927658394053157,True,1
planning_budget_0002,replace_prior,4,constraint_violation,False,True,0.9998229177622034,0.3927658394053157,True,0
planning_budget_0002,branch_and_pick,4,constraint_violation,False,True,0.5679347897324505,0.1428101100737473,False,1
2hop_fractions_0039,baseline,2,wrong_percentage_base,False,False,0.9999716729518054,0.9994719307994576,True,0
2hop_fractions_0039,reprompt,2,wrong_percentage_base,False,False,0.9999716729518054,0.9994719307994576,True,2
2hop_fractions_0039,replace_prior,2,wrong_percentage_base,False,False,0.9999716729518054,0.999567587048852,True,1
2hop_fractions_0039,branch_and_pick,2,wrong_percentage_base,False,False,0.0055310960671244,0.0027655480335622,False,2
2hop_fractions_0032,baseline,2,wrong_unit,False,False,0.9999521437475885,0.9986123000390854,True,0
2hop_fractions_0032,reprompt,2,wrong_unit,True,False,0.9999521437475885,0.9986123000390854,True,2
2hop_fractions_0032,replace_prior,2,wrong_unit,False,False,0.999999892522934,0.9999760181352612,True,1
2hop_fractions_0032,branch_and_pick,2,wrong_unit,True,False,0.9997191607397076,0.4998595803698537,True,2
3hop_multi_stage_geometry_0006,baseline,3,wrong_operator,False,True,0.9999896993270996,0.6659878430036317,True,0
3hop_multi_stage_geometry_0006,reprompt,3,wrong_operator,False,True,0.9999896993270996,0.6659878430036317,True,2
3hop_multi_stage_geometry_0006,replace_prior,3,wrong_operator,False,False,0.9999999999355312,0.6668935049266748,True,1
3hop_multi_stage_geometry_0006,branch_and_pick,3,wrong_operator,False,True,0.9999352373986792,0.333311863349916,True,2
4hop_multi_stage_allocation_0017,baseline,4,wrong_unit,False,False,0.9999998708730746,0.4999452436068139,True,0
4hop_multi_stage_allocation_0017,reprompt,4,wrong_unit,False,False,0.9999998708730746,0.4999452436068139,True,2
4hop_multi_stage_allocation_0017,replace_prior,4,wrong_unit,False,False,0.9999999999996558,0.506865265013449,True,1
4hop_multi_stage_allocation_0017,branch_and_pick,4,wrong_unit,False,False,0.7969074710289284,0.1996885854457843,True,2
3hop_compound_rate_0007,baseline,3,wrong_unit,False,False,0.9999999569808954,0.6665886421048813,True,0
3hop_compound_rate_0007,reprompt,3,wrong_unit,False,False,0.9999999569808954,0.6665886421048813,True,2
3hop_compound_rate_0007,replace_prior,3,wrong_unit,False,False,0.9999999569808954,0.6658809442221164,True,1
3hop_compound_rate_0007,branch_and_pick,3,wrong_unit,False,False,3.90919246257628e-06,1.3034370556324098e-06,False,2
2hop_fractions_0005,baseline,2,off_by_one,False,False,0.9999515531990242,0.9845777634525696,True,0
2hop_fractions_0005,reprompt,2,off_by_one,False,False,0.9999515531990242,0.9845777634525696,True,2
2hop_fractions_0005,replace_prior,2,off_by_one,False,False,0.999996678467807,0.9999741158334156,True,1
2hop_fractions_0005,branch_and_pick,2,off_by_one,False,False,0.0326855475465041,0.0163427737732521,False,2
4hop_nested_fractions_0019,baseline,4,wrong_percentage_base,True,False,0.9999999950432004,0.497621639186929,True,0
4hop_nested_fractions_0019,reprompt,4,wrong_percentage_base,True,False,0.9999999950432004,0.497621639186929,True,2
4hop_nested_fractions_0019,replace_prior,4,wrong_percentage_base,False,False,0.9999999999468804,0.9999998197091232,True,3
4hop_nested_fractions_0019,branch_and_pick,4,wrong_percentage_base,True,False,0.9999980015756162,0.2505328631890527,True,2
2hop_rate_distance_0038,baseline,2,magnitude_error,False,False,0.9999999987099312,0.9994832207908196,True,0
2hop_rate_distance_0038,reprompt,2,magnitude_error,False,False,0.9999999987099312,0.9994832207908196,True,2
2hop_rate_distance_0038,replace_prior,2,magnitude_error,False,False,0.9999999999980338,0.9999999993539824,True,1
2hop_rate_distance_0038,branch_and_pick,2,magnitude_error,False,False,0.0272615410507292,0.013630789919006,False,2
3hop_percentage_chain_0047,baseline,3,wrong_unit,True,False,0.999999999944864,0.666667226527217,True,0
3hop_percentage_chain_0047,reprompt,3,wrong_unit,True,False,0.999999999944864,0.666667226527217,True,2
3hop_percentage_chain_0047,replace_prior,3,wrong_unit,True,False,0.9999999999989596,0.8364456402596101,True,1
3hop_percentage_chain_0047,branch_and_pick,3,wrong_unit,True,False,3.3347685685927267e-06,2.0301832123749588e-06,False,2
3hop_compound_rate_0018,baseline,3,magnitude_error,False,False,0.999999410766228,0.666665884897211,True,0
3hop_compound_rate_0018,reprompt,3,magnitude_error,False,False,0.999999410766228,0.666665884897211,True,2
3hop_compound_rate_0018,replace_prior,3,magnitude_error,False,False,0.999999410766228,0.6598998476661951,True,1
3hop_compound_rate_0018,branch_and_pick,3,magnitude_error,False,False,0.5551640864727377,0.1850546997760562,False,2
3hop_percentage_chain_0015,baseline,3,off_by_one,False,False,0.999999999447268,0.6603695945133571,True,0
3hop_percentage_chain_0015,reprompt,3,off_by_one,False,False,0.999999999447268,0.6603695945133571,True,2
3hop_percentage_chain_0015,replace_prior,3,off_by_one,True,False,0.9999999999997756,0.7122150261306589,True,1
3hop_percentage_chain_0015,branch_and_pick,3,off_by_one,False,False,0.4409272894879766,0.1469757939980776,False,2
3hop_percentage_chain_0004,baseline,3,wrong_percentage_base,True,False,0.9999999999101437,0.6666726464859084,True,0
3hop_percentage_chain_0004,reprompt,3,wrong_percentage_base,True,False,0.9999999999101437,0.6666726464859084,True,2
3hop_percentage_chain_0004,replace_prior,3,wrong_percentage_base,True,False,0.9999999999990992,0.6690175919322656,True,1
3hop_percentage_chain_0004,branch_and_pick,3,wrong_percentage_base,True,False,3.07062199100667e-05,1.307370459699604e-05,False,2
4hop_nested_fractions_0015,baseline,4,off_by_one,True,False,0.9999995696646078,0.4974065525757821,True,0
4hop_nested_fractions_0015,reprompt,4,off_by_one,True,False,0.9999995696646078,0.4974065525757821,True,2
4hop_nested_fractions_0015,replace_prior,4,off_by_one,True,False,0.999999999830746,0.5268860694687834,True,1
4hop_nested_fractions_0015,branch_and_pick,4,off_by_one,True,False,0.7127416163817454,0.1793311498696175,False,2
2hop_fractions_0003,baseline,2,magnitude_error,False,False,0.999993075435881,0.9908541175015108,True,0
2hop_fractions_0003,reprompt,2,magnitude_error,False,False,0.999993075435881,0.9908541175015108,True,2
2hop_fractions_0003,replace_prior,2,magnitude_error,False,False,0.999997327258515,0.999995201347198,True,1
