base_id,condition,hop_depth,error_type,final_correct,final_absurd,max_probe_score,mean_probe_score,fired_at_least_once,n_interventions
3hop_multi_stage_geometry_0009,baseline,3,wrong_percentage_base,False,False,0.9852052672135219,0.6084246582809986,True,0
3hop_multi_stage_geometry_0009,reprompt,3,wrong_percentage_base,False,False,0.9852052672135219,0.6084246582809986,True,2
3hop_multi_stage_geometry_0009,replace_prior,3,wrong_percentage_base,False,False,0.999999972066503,0.6666647937152327,True,2
3hop_multi_stage_geometry_0009,branch_and_pick,3,wrong_percentage_base,False,False,0.9999597495887426,0.6666137726481302,True,2
3hop_percentage_chain_0048,baseline,3,magnitude_error,False,False,0.9999999976160885,0.6665629380295311,True,0
3hop_percentage_chain_0048,reprompt,3,magnitude_error,False,False,0.9999999976160885,0.6665629380295311,True,2
3hop_percentage_chain_0048,replace_prior,3,magnitude_error,False,False,0.9999996714195494,0.6666496658902572,True,2
3hop_percentage_chain_0048,branch_and_pick,3,magnitude_error,False,False,0.999999880175585,0.6666592951855806,True,2
2hop_arithmetic_0044,baseline,2,wrong_percentage_base,False,False,0.9999991755940889,0.49999958814184153,True,0
2hop_arithmetic_0044,reprompt,2,wrong_percentage_base,False,False,0.9999991755940889,0.49999958814184153,True,1
2hop_arithmetic_0044,replace_prior,2,wrong_percentage_base,False,False,0.9999999995431483,0.5000000001163712,True,1
2hop_arithmetic_0044,branch_and_pick,2,wrong_percentage_base,False,False,0.9999225143631091,0.4999612575263516,True,1
4hop_nested_fractions_0009,baseline,4,wrong_percentage_base,True,False,0.9999993334060802,0.7500009287824454,True,0
4hop_nested_fractions_0009,reprompt,4,wrong_percentage_base,False,False,0.9999993334060802,0.7500009287824454,True,3
4hop_nested_fractions_0009,replace_prior,4,wrong_percentage_base,False,False,0.9999999941225315,0.7500016379301083,True,3
4hop_nested_fractions_0009,branch_and_pick,4,wrong_percentage_base,False,False,0.9999876522107989,0.7477920250038517,True,3
2hop_counting_0007,baseline,2,wrong_unit,False,False,0.8469161733439149,0.423458131162067,True,0
2hop_counting_0007,reprompt,2,wrong_unit,False,False,0.8469161733439149,0.423458131162067,True,1
2hop_counting_0007,replace_prior,2,wrong_unit,False,False,0.9960701580475491,0.49803512351388407,True,1
